ts,hour_utc,coin,spread,cost54,cost109
1789290456,9,ETH,0.000004,0.000002,0.000002
1789290456,9,SOL,0.000100,0.000059,0.000105
1789290456,9,ADA,0.000489,0.000245,0.000245
1789290456,9,LINK,0.000265,0.000202,0.000211
1789290456,9,AVAX,0.000821,0.000410,0.000455
1789290456,9,XRP,0.000222,0.000111,0.000111
1789290456,9,DOT,0.000498,0.000356,0.000422
1789290456,9,XLM,0.002693,0.001459,0.001488
1789290456,9,SUI,0.000422,0.000239,0.000296
1789290456,9,HYPE,0.000013,0.000054,0.000211
1789290456,9,ZEC,0.000505,0.000260,0.000279
1789290456,9,AAVE,0.000080,0.000622,0.000854
1789290456,9,TAO,0.000429,0.000214,0.000214
1789290456,9,NEAR,0.000431,0.000462,0.000555
